Transaction_ID,Date,Customer_ID,Customer_Age,Customer_Gender,Loyalty_Status,Category,Product_Name,Unit_Cost,Unit_Price,Quantity_Sold,Revenue,Total_Cost,Profit,Stock_Remaining,Satisfaction_Score
TXN-11535,2025-01-07,CUST-0250,39,Other,Regular,Clothing,Hat,3.72,6.93,2,13.86,7.44,6.42,688,6.8
TXN-11660,2025-01-07,CUST-0776,38,Female,Silver,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,372,5.2
TXN-13252,2025-01-07,CUST-0534,18,Female,Regular,Home & Garden,Towel,36.45,51.3,1,51.3,36.45,14.85,766,4.5
TXN-13929,2025-01-07,CUST-0150,35,Female,Regular,Clothing,Jacket,3.47,6.87,3,20.61,10.41,10.2,1198,6.3
TXN-14832,2025-01-07,CUST-0604,26,Male,Regular,Beauty & Health,Soap,11.95,23.02,1,23.02,11.95,11.07,827,3.7
TXN-12643,2025-01-07,CUST-0425,44,Female,Regular,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1619,6.8
TXN-11952,2025-01-07,CUST-0006,26,Male,Regular,Clothing,Socks,46.78,72.77,1,72.77,46.78,25.99,1177,7.5
TXN-14760,2025-01-07,CUST-0638,33,Female,Regular,Home & Garden,Plant Pot,34.48,43.76,4,175.04,137.92,37.12,1423,8.1
TXN-10993,2025-01-07,CUST-0001,25,Male,Regular,Electronics,Smartwatch,34.96,50.62,4,202.48,139.84,62.64,940,6.4
TXN-11179,2025-01-07,CUST-0602,18,Female,Regular,Groceries,Pasta,47.29,56.99,1,56.99,47.29,9.7,1213,6.1
TXN-13150,2025-01-07,CUST-0713,53,Male,Silver,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,253,4.9
TXN-13854,2025-01-07,CUST-0653,35,Female,Regular,Beauty & Health,Shampoo,25.11,45.77,3,137.31,75.33,61.98,765,7.8
TXN-10875,2025-01-07,CUST-0753,38,Male,Regular,Groceries,Chicken,14.09,25.57,1,25.57,14.09,11.48,1876,5.0
TXN-11419,2025-01-07,CUST-0077,49,Female,Regular,Home & Garden,Towel,36.45,51.3,1,51.3,36.45,14.85,883,7.9
TXN-14437,2025-01-07,CUST-0460,40,Female,Regular,Beauty & Health,Vitamins,4.16,7.52,1,7.52,4.16,3.36,1021,5.4
TXN-12142,2025-01-07,CUST-0053,18,Female,Regular,Clothing,Socks,46.78,72.77,1,72.77,46.78,25.99,1166,7.2
TXN-11098,2025-01-07,CUST-0783,21,Male,Silver,Home & Garden,Frying Pan,11.59,15.48,1,15.48,11.59,3.89,1780,6.4
TXN-13173,2025-01-07,CUST-0525,18,Other,Gold,Electronics,USB Drive,123.53,158.32,4,633.28,494.12,139.16,1513,8.3
TXN-12258,2025-01-07,CUST-0288,39,Female,Regular,Groceries,Cereal,40.44,66.69,2,133.38,80.88,52.5,609,8.0
TXN-14333,2025-01-08,CUST-0842,29,Female,Regular,Electronics,Smartwatch,34.96,50.62,3,151.86,104.88,46.98,685,5.7
TXN-14814,2025-01-08,CUST-0549,48,Male,Regular,Electronics,Mouse,41.17,78.14,2,156.28,82.34,73.94,961,6.6
TXN-13823,2025-01-08,CUST-0647,55,Female,Silver,Groceries,Cereal,40.44,66.69,1,66.69,40.44,26.25,467,7.6
TXN-14255,2025-01-08,CUST-0928,18,Female,Silver,Home & Garden,Frying Pan,11.59,15.48,1,15.48,11.59,3.89,1524,3.9
TXN-10507,2025-01-08,CUST-0217,18,Female,Silver,Groceries,Cereal,40.44,66.69,1,66.69,40.44,26.25,740,5.6
TXN-13157,2025-01-08,CUST-0842,39,Male,Regular,Electronics,Keyboard,107.66,156.53,1,156.53,107.66,48.87,665,7.4
TXN-11538,2025-01-08,CUST-0738,32,Female,Regular,Beauty & Health,Soap,11.95,23.02,1,23.02,11.95,11.07,1007,8.7
TXN-13884,2025-01-08,CUST-0452,32,Female,Silver,Beauty & Health,Toothpaste,36.38,71.18,1,71.18,36.38,34.8,560,5.4
TXN-11877,2025-01-08,CUST-0441,25,Female,Regular,Groceries,Eggs,28.33,56.24,3,168.72,84.99,83.73,1566,7.0
TXN-10370,2025-01-08,CUST-0763,44,Female,Regular,Home & Garden,Mug,5.57,9.8,2,19.6,11.14,8.46,853,5.6
TXN-10649,2025-01-08,CUST-0273,34,Female,Silver,Groceries,Cereal,40.44,66.69,3,200.07,121.32,78.75,732,6.3
TXN-13613,2025-01-08,CUST-0721,39,Female,Silver,Electronics,Smartwatch,34.96,50.62,1,50.62,34.96,15.66,750,7.5
TXN-14646,2025-01-08,CUST-0227,42,Male,Regular,Clothing,T-Shirt,49.29,89.1,1,89.1,49.29,39.81,376,5.3
TXN-12173,2025-01-08,CUST-0724,31,Other,Silver,Clothing,Hat,3.72,6.93,1,6.93,3.72,3.21,648,7.5
TXN-11157,2025-01-08,CUST-0409,34,Male,Silver,Groceries,Eggs,28.33,56.24,2,112.48,56.66,55.82,1613,4.8
TXN-11019,2025-01-08,CUST-0633,18,Male,Regular,Beauty & Health,Vitamins,4.16,7.52,5,37.6,20.8,16.8,1276,5.1
TXN-13644,2025-01-08,CUST-0032,55,Male,Regular,Groceries,Cereal,40.44,66.69,2,133.38,80.88,52.5,476,6.9
TXN-10654,2025-01-08,CUST-0218,18,Female,Silver,Home & Garden,Plant Pot,34.48,43.76,3,131.28,103.44,27.84,1781,5.0
TXN-12919,2025-01-09,CUST-0757,26,Male,Silver,Groceries,Cereal,40.44,66.69,3,200.07,121.32,78.75,540,7.2
TXN-10320,2025-01-09,CUST-0311,42,Male,Regular,Beauty & Health,Vitamins,4.16,7.52,1,7.52,4.16,3.36,1330,5.5
TXN-12307,2025-01-09,CUST-0825,26,Female,Regular,Clothing,Hat,3.72,6.93,2,13.86,7.44,6.42,644,6.4
TXN-13512,2025-01-09,CUST-0514,30,Other,Silver,Home & Garden,Towel,36.45,51.3,10,513.0,364.5,148.5,735,6.9
TXN-14639,2025-01-09,CUST-0399,44,Male,Gold,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1440,9.0
TXN-12688,2025-01-09,CUST-0907,29,Female,Regular,Clothing,Jeans,45.05,74.05,1,74.05,45.05,29.0,1523,5.5
TXN-12197,2025-01-09,CUST-0839,34,Female,Silver,Home & Garden,Plant Pot,34.48,43.76,2,87.52,68.96,18.56,1652,6.2
TXN-12396,2025-01-09,CUST-0052,51,Male,Regular,Beauty & Health,Vitamins,4.16,7.52,4,30.08,16.64,13.44,1145,5.1
TXN-13389,2025-01-09,CUST-0037,27,Female,Gold,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,244,8.7
TXN-10666,2025-01-09,CUST-0315,32,Male,Regular,Groceries,Bread,45.02,60.28,4,241.12,180.08,61.04,965,6.5
TXN-10975,2025-01-09,CUST-0315,29,Male,Regular,Clothing,Socks,46.78,72.77,1,72.77,46.78,25.99,1239,4.9
TXN-10712,2025-01-09,CUST-0458,45,Female,Regular,Clothing,Hat,3.72,6.93,2,13.86,7.44,6.42,788,6.5
TXN-12979,2025-01-10,CUST-0540,36,Female,Regular,Clothing,T-Shirt,49.29,89.1,2,178.2,98.58,79.62,494,4.6
TXN-10165,2025-01-10,CUST-0649,35,Female,Silver,Electronics,Charger,85.78,132.44,1,132.44,85.78,46.66,756,5.2
TXN-13684,2025-01-10,CUST-0979,18,Female,Regular,Clothing,Jeans,45.05,74.05,1,74.05,45.05,29.0,1426,7.1
TXN-10028,2025-01-10,CUST-0664,23,Male,Silver,Clothing,Jacket,3.47,6.87,1,6.87,3.47,3.4,1528,5.4
TXN-14904,2025-01-10,CUST-0437,51,Male,Regular,Electronics,Keyboard,107.66,156.53,2,313.06,215.32,97.74,514,4.4
TXN-13335,2025-01-10,CUST-0577,21,Female,Regular,Groceries,Pasta,47.29,56.99,1,56.99,47.29,9.7,1091,6.7
TXN-10004,2025-01-10,CUST-0478,52,Female,Regular,Groceries,Bread,45.02,60.28,1,60.28,45.02,15.26,1008,4.0
TXN-10497,2025-01-10,CUST-0477,27,Male,Silver,Groceries,Milk,32.13,59.75,2,119.5,64.26,55.24,1169,5.7
TXN-11136,2025-01-10,CUST-0199,48,Other,Regular,Electronics,Headphones,49.93,84.43,3,253.29,149.79,103.5,1241,4.7
TXN-13183,2025-01-10,CUST-0754,29,Female,Regular,Groceries,Eggs,28.33,56.24,1,56.24,28.33,27.91,1471,8.0
TXN-13631,2025-01-10,CUST-0123,55,Male,Regular,Clothing,Sneakers,20.09,39.7,1,39.7,20.09,19.61,537,6.3
TXN-13409,2025-01-10,CUST-0780,59,Male,Regular,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1555,8.3
TXN-14881,2025-01-10,CUST-0914,40,Female,Regular,Groceries,Eggs,28.33,56.24,2,112.48,56.66,55.82,1348,6.7
TXN-10980,2025-01-10,CUST-0630,64,Female,Gold,Electronics,Mouse,41.17,78.14,3,234.42,123.51,110.91,1235,8.4
TXN-11134,2025-01-10,CUST-0531,41,Male,Regular,Beauty & Health,Soap,11.95,23.02,3,69.06,35.85,33.21,1042,5.1
TXN-11070,2025-01-10,CUST-0733,23,Female,Gold,Electronics,Headphones,49.93,84.43,1,84.43,49.93,34.5,1246,8.4
TXN-11378,2025-01-10,CUST-0898,60,Male,Regular,Clothing,Jacket,3.47,6.87,3,20.61,10.41,10.2,1444,7.0
TXN-14006,2025-01-11,CUST-0245,46,Male,Regular,Home & Garden,Mug,5.57,9.8,5,49.0,27.85,21.15,600,9.1
TXN-14349,2025-01-11,CUST-0198,26,Female,Regular,Clothing,Hat,3.72,6.93,1,6.93,3.72,3.21,537,5.7
TXN-10268,2025-01-11,CUST-0467,21,Male,Regular,Electronics,Charger,85.78,132.44,1,132.44,85.78,46.66,753,8.1
TXN-14857,2025-01-11,CUST-0030,18,Male,Regular,Electronics,USB Drive,123.53,158.32,1,158.32,123.53,34.79,1403,5.7
TXN-14836,2025-01-11,CUST-0935,53,Female,Regular,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,109,3.6
TXN-11580,2025-01-11,CUST-0387,40,Female,Regular,Groceries,Cereal,40.44,66.69,4,266.76,161.76,105.0,642,9.4
TXN-10684,2025-01-11,CUST-0081,35,Female,Regular,Groceries,Rice,16.47,23.64,4,94.56,65.88,28.68,451,8.8
TXN-11648,2025-01-12,CUST-0240,48,Male,Gold,Clothing,Socks,46.78,72.77,1,72.77,46.78,25.99,1188,8.8
TXN-13873,2025-01-12,CUST-0398,29,Other,Regular,Clothing,Socks,46.78,72.77,1,72.77,46.78,25.99,1004,5.7
TXN-12985,2025-01-12,CUST-0413,35,Male,Regular,Clothing,T-Shirt,49.29,89.1,1,89.1,49.29,39.81,493,5.9
TXN-13868,2025-01-12,CUST-0078,35,Male,Silver,Beauty & Health,Vitamins,4.16,7.52,2,15.04,8.32,6.72,1051,6.2
TXN-12354,2025-01-12,CUST-0969,26,Male,Regular,Home & Garden,Bed Sheets,41.27,74.29,1,74.29,41.27,33.02,1669,7.6
TXN-14214,2025-01-12,CUST-0615,40,Male,Silver,Clothing,Socks,46.78,72.77,10,727.7,467.8,259.9,990,6.1
TXN-11891,2025-01-12,CUST-0641,53,Female,Silver,Groceries,Bread,45.02,60.28,1,60.28,45.02,15.26,884,5.5
TXN-12526,2025-01-12,CUST-0598,56,Male,Silver,Groceries,Bread,45.02,60.28,1,60.28,45.02,15.26,838,5.1
TXN-13105,2025-01-12,CUST-0276,36,Female,Silver,Electronics,Keyboard,107.66,156.53,5,782.65,538.3,244.35,666,9.2
TXN-14479,2025-01-12,CUST-0131,24,Male,Regular,Electronics,USB Drive,123.53,158.32,4,633.28,494.12,139.16,1413,5.6
TXN-13277,2025-01-12,CUST-0703,27,Female,Gold,Groceries,Bread,45.02,60.28,5,301.4,225.1,76.3,742,9.9
TXN-11889,2025-01-12,CUST-0954,46,Female,Silver,Clothing,Jacket,3.47,6.87,4,27.48,13.88,13.6,1380,9.4
TXN-12153,2025-01-13,CUST-0295,44,Female,Silver,Groceries,Rice,16.47,23.64,3,70.92,49.41,21.51,320,6.2
TXN-13878,2025-01-13,CUST-0656,40,Female,Gold,Clothing,T-Shirt,49.29,89.1,1,89.1,49.29,39.81,430,8.2
TXN-14370,2025-01-13,CUST-0016,29,Female,Silver,Electronics,Headphones,49.93,84.43,1,84.43,49.93,34.5,1043,5.8
TXN-14335,2025-01-13,CUST-0916,24,Other,Regular,Electronics,Smartwatch,34.96,50.62,3,151.86,104.88,46.98,682,6.5
TXN-13171,2025-01-13,CUST-0657,36,Male,Silver,Electronics,Headphones,49.93,84.43,4,337.72,199.72,138.0,1121,9.1
TXN-12701,2025-01-13,CUST-0868,26,Male,Silver,Groceries,Apples,18.31,24.59,1,24.59,18.31,6.28,1550,6.7
TXN-10736,2025-01-13,CUST-0939,30,Male,Regular,Home & Garden,Bed Sheets,41.27,74.29,2,148.58,82.54,66.04,1798,3.5
TXN-13198,2025-01-13,CUST-0288,34,Female,Silver,Home & Garden,Towel,36.45,51.3,1,51.3,36.45,14.85,770,7.4
TXN-12991,2025-01-13,CUST-0837,42,Female,Regular,Home & Garden,Plant Pot,34.48,43.76,2,87.52,68.96,18.56,1593,5.7
TXN-10738,2025-01-13,CUST-0765,46,Female,Silver,Groceries,Cereal,40.44,66.69,1,66.69,40.44,26.25,720,5.1
TXN-12399,2025-01-13,CUST-0552,37,Male,Silver,Beauty & Health,Face Wash,9.13,14.22,1,14.22,9.13,5.09,1240,5.1
TXN-14875,2025-01-13,CUST-0509,47,Female,Regular,Beauty & Health,Lotion,8.66,15.35,1,15.35,8.66,6.69,879,7.4
TXN-11774,2025-01-13,CUST-0125,43,Male,Regular,Groceries,Bread,45.02,60.28,1,60.28,45.02,15.26,902,5.5
TXN-14882,2025-01-13,CUST-0720,18,Male,Regular,Clothing,T-Shirt,49.29,89.1,2,178.2,98.58,79.62,357,7.4
TXN-13699,2025-01-13,CUST-0432,23,Female,Regular,Beauty & Health,Face Wash,9.13,14.22,1,14.22,9.13,5.09,1138,5.0
TXN-10668,2025-01-13,CUST-0349,39,Female,Regular,Groceries,Eggs,28.33,56.24,2,112.48,56.66,55.82,1651,6.4
TXN-11596,2025-01-13,CUST-0579,36,Female,Silver,Clothing,Jacket,3.47,6.87,5,34.35,17.35,17.0,1430,7.9
TXN-10833,2025-01-13,CUST-0002,23,Male,Regular,Clothing,Sneakers,20.09,39.7,1,39.7,20.09,19.61,722,6.6
TXN-11911,2025-01-13,CUST-0235,41,Female,Regular,Clothing,Jacket,3.47,6.87,1,6.87,3.47,3.4,1379,5.3
TXN-13626,2025-01-14,CUST-0833,35,Male,Regular,Home & Garden,Bed Sheets,41.27,74.29,5,371.45,206.35,165.1,1553,7.7
TXN-10810,2025-01-14,CUST-0247,25,Male,Regular,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1765,6.9
TXN-14094,2025-01-14,CUST-0377,33,Male,Regular,Beauty & Health,Lotion,8.66,15.35,1,15.35,8.66,6.69,912,4.2
TXN-13711,2025-01-14,CUST-0086,41,Male,Regular,Electronics,Keyboard,107.66,156.53,2,313.06,215.32,97.74,629,4.9
TXN-12167,2025-01-14,CUST-0351,20,Male,Gold,Home & Garden,Plant Pot,34.48,43.76,3,131.28,103.44,27.84,1654,6.5
TXN-13104,2025-01-14,CUST-0751,21,Male,Regular,Home & Garden,Towel,36.45,51.3,1,51.3,36.45,14.85,775,5.3
TXN-12694,2025-01-14,CUST-0442,22,Female,Silver,Beauty & Health,Toothpaste,36.38,71.18,1,71.18,36.38,34.8,643,5.0
TXN-13045,2025-01-14,CUST-0315,22,Female,Silver,Clothing,T-Shirt,49.29,89.1,4,356.4,197.16,159.24,475,5.7
TXN-14066,2025-01-14,CUST-0215,47,Male,Regular,Home & Garden,Frying Pan,11.59,15.48,2,30.96,23.18,7.78,1533,5.7
TXN-11046,2025-01-14,CUST-0572,45,Male,Regular,Home & Garden,Towel,36.45,51.3,1,51.3,36.45,14.85,910,4.2
TXN-13033,2025-01-14,CUST-0369,35,Male,Regular,Clothing,Jacket,3.47,6.87,2,13.74,6.94,6.8,1284,6.2
TXN-11919,2025-01-14,CUST-0266,25,Female,Regular,Beauty & Health,Face Wash,9.13,14.22,3,42.66,27.39,15.27,1301,3.1
TXN-10438,2025-01-15,CUST-0113,30,Male,Regular,Electronics,USB Drive,123.53,158.32,1,158.32,123.53,34.79,1723,4.6
TXN-12541,2025-01-15,CUST-0904,27,Other,Regular,Electronics,USB Drive,123.53,158.32,4,633.28,494.12,139.16,1558,7.3
